smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H18N4O2S/c1-12-5-6-14-9-13(2)18-21-22-19(23(18)16(14)8-12)26-11-17(24)20-10-15-4-3-7-25-15/h3-9H,10-11H2,1-2H3,(H,20,24)",1,10,train
CCSC1=C(C#N)C2(CCCCC2)C(C#N)C(=N)N1,True,imine,1,"InChI=1S/C14H18N4S/c1-2-19-13-11(9-16)14(6-4-3-5-7-14)10(8-15)12(17)18-13/h18H,2-7,17H2,1H3",1,11,train
CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C19H28N2O7/c1-4-27-19(26)17(20-13(2)24)18(28-14(3)25)15-6-5-7-16(12-15)21(8-10-22)9-11-23/h5-7,12,17-18,22-23H,4,8-11H2,1-3H3,(H,20,24)",0,12,train
CCC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,True,(),0,"InChI=1S/C18H17NO4/c1-2-17(20)19-14-11-16-15(22-8-9-23-16)10-13(14)18(21)12-6-4-3-5-7-12/h3-7,10-11H,2,8-9H2,1H3,(H,19,20)",1,13,train
Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccc(F)cc3)CC2)n1,True,(),0,"InChI=1S/C20H25FN4O/c1-14-13-15(2)24-20(23-14)25-11-8-17(9-12-25)19(26)22-10-7-16-3-5-18(21)6-4-16/h3-6,13,17H,7-12H2,1-2H3,(H,22,26)",0,14,train
COc1cc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)cc(OC)c1OC,True,(),0,"InChI=1S/C21H23N3O5/c1-25-17-12-15(13-18(26-2)19(17)27-3)21-23-22-20(29-21)14-4-6-16(7-5-14)24-8-10-28-11-9-24/h4-7,12-13H,8-11H2,1-3H3",0,15,train
CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,True,"Michael acceptor, Michael acceptor",2,"InChI=1S/C19H29N3O3/c1-20(2)13-16-17(23)21(14-9-5-3-6-10-14)19(25)22(18(16)24)15-11-7-4-8-12-15/h13-15H,3-12H2,1-2H3",0,16,train
Cc1ccc(C)c(C(=O)C2C(=O)C(=O)N(CCN3CCOCC3)C2c2ccco2)c1,True,"beta-keto/anhydride, diketo group",2,"InChI=1S/C23H26N2O5/c1-15-5-6-16(2)17(14-15)21(26)19-20(18-4-3-11-30-18)25(23(28)22(19)27)8-7-24-9-12-29-13-10-24/h3-6,11,14,20,26H,7-10,12-13H2,1-2H3/b21-19-",1,17,train
Cn1c(SC2=CS(=O)(=O)c3ccccc32)nc2ccccc21,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H12N2O2S2/c1-18-13-8-4-3-7-12(13)17-16(18)21-14-10-22(19,20)15-9-5-2-6-11(14)15/h2-10H,1H3",1,18,train
CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1,True,(),0,"InChI=1S/C15H13N3O2/c1-2-19-13-5-3-11(4-6-13)14-17-18-15(20-14)12-7-9-16-10-8-12/h3-10H,2H2,1H3",1,19,train
CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H25N5O5S/c1-11(20(28)24-12-4-2-3-5-12)26(13-6-7-14-15(10-13)31-9-8-30-14)21(29)18-16(22)17(19(23)27)25-32-18/h6-7,10-12H,2-5,8-9,22H2,1H3,(H2,23,27)(H,24,28)",0,20,train
Cn1c(-c2ccc3c(c2)OCO3)cnc1NCc1ccccc1,True,(),0,"InChI=1S/C18H17N3O2.C2H2O4/c1-21-15(14-7-8-16-17(9-14)23-12-22-16)11-20-18(21)19-10-13-5-3-2-4-6-13;3-1(4)2(5)6/h2-9,11H,10,12H2,1H3,(H,19,20);(H,3,4)(H,5,6)",1,21,train
CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,True,Aliphatic long chain,1,"InChI=1S/C16H16N4OS/c1-16(9-5-10-17)14(21)20(13-7-3-2-4-8-13)15(19-16)22-12-6-11-18/h2-4,7-8H,5-6,9,12H2,1H3",0,22,train
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(CN2CCOCC2)cc1,True,(),0,"InChI=1S/C22H27N3O4S/c26-22(19-5-3-18(4-6-19)17-24-13-15-29-16-14-24)23-20-7-9-21(10-8-20)30(27,28)25-11-1-2-12-25/h3-10H,1-2,11-17H2,(H,23,26)",1,23,train
CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,True,(),0,"InChI=1S/C21H30FN3O2/c1-16(26)24-21(17-6-5-7-18(22)14-17)10-12-25(13-11-21)15-20(27)23-19-8-3-2-4-9-19/h5-7,14,19H,2-4,8-13,15H2,1H3,(H,23,27)(H,24,26)",0,24,train
Cc1cccc(Nc2nc3c(c(=O)n(C)c(=O)n3C)n2CC(O)CO)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C17H21N5O4/c1-10-5-4-6-11(7-10)18-16-19-14-13(22(16)8-12(24)9-23)15(25)21(3)17(26)20(14)2/h4-7,12,23-24H,8-9H2,1-3H3,(H,18,19)",1,25,train
CCn1c(Cc2ccccc2)nnc1SCC(=O)NC(C)(C)C,True,(),0,"InChI=1S/C17H24N4OS/c1-5-21-14(11-13-9-7-6-8-10-13)19-20-16(21)23-12-15(22)18-17(2,3)4/h6-10H,5,11-12H2,1-4H3,(H,18,22)",0,26,train
COc1cc2cc(CN(CCCO)S(=O)(=O)c3ccccc3Cl)c(=O)[nH]c2cc1OC,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C21H23ClN2O6S/c1-29-18-11-14-10-15(21(26)23-17(14)12-19(18)30-2)13-24(8-5-9-25)31(27,28)20-7-4-3-6-16(20)22/h3-4,6-7,10-12,25H,5,8-9,13H2,1-2H3,(H,23,26)",0,27,train
CC(C)Cn1c(-c2ccc(Cl)cc2)cnc1SCC(=O)N1CCOCC1,True,(),0,"InChI=1S/C19H24ClN3O2S/c1-14(2)12-23-17(15-3-5-16(20)6-4-15)11-21-19(23)26-13-18(24)22-7-9-25-10-8-22/h3-6,11,14H,7-10,12-13H2,1-2H3",1,28,train
CCc1cc2c(NCCO)ncnc2s1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C10H13N3OS/c1-2-7-5-8-9(11-3-4-14)12-6-13-10(8)15-7/h5-6,14H,2-4H2,1H3,(H,11,12,13)",1,29,train
Nc1[nH]nc(-c2ccc(Br)cc2)c1Cl,True,(),0,"InChI=1S/C9H7BrClN3/c10-6-3-1-5(2-4-6)8-7(11)9(12)14-13-8/h1-4H,(H3,12,13,14)",1,30,train
Cc1nn(C)c(C)c1CNC(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)(F)F,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H23F3N6O/c1-12-15(13(2)29(3)28-12)10-25-20(31)16-11-26-30-18(21(22,23)24)9-17(27-19(16)30)14-7-5-4-6-8-14/h4-8,11,17-18,27H,9-10H2,1-3H3,(H,25,31)",0,31,train
Cc1ccc(C(c2nnnn2CC2CCCO2)N2CCN(C(=O)c3ccco3)CC2)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H28N6O3/c1-17-6-8-18(9-7-17)21(22-24-25-26-29(22)16-19-4-2-14-31-19)27-10-12-28(13-11-27)23(30)20-5-3-15-32-20/h3,5-9,15,19,21H,2,4,10-14,16H2,1H3",0,32,train
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,True,cumarine,1,"InChI=1S/C13H13BrClNO2/c1-3-16(4-2)8-5-6-9-10(7-8)18-13(17)11(14)12(9)15/h5-7H,3-4H2,1-2H3",1,33,train
COc1ccc(OC)c(NC(=O)C(CC(=O)O)NCc2ccco2)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C17H20N2O6/c1-23-11-5-6-15(24-2)13(8-11)19-17(22)14(9-16(20)21)18-10-12-4-3-7-25-12/h3-8,14,18H,9-10H2,1-2H3,(H,19,22)(H,20,21)",0,34,train
O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C14H11NO3S/c16-14-5-9(13-2-1-3-19-13)8-4-11-12(18-7-17-11)6-10(8)15-14/h1-4,6,9H,5,7H2,(H,15,16)",1,35,train
COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C17H24N4O2.BrH/c1-23-16(22)13-21-15-8-4-3-7-14(15)20(17(21)18)12-11-19-9-5-2-6-10-19;/h3-4,7-8,18H,2,5-6,9-13H2,1H3;1H",0,36,train
COc1ccc(-c2noc(C3CCCN(C(=O)c4ccccc4OC)C3)n2)cc1OC,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H25N3O5/c1-28-18-9-5-4-8-17(18)23(27)26-12-6-7-16(14-26)22-24-21(25-31-22)15-10-11-19(29-2)20(13-15)30-3/h4-5,8-11,13,16H,6-7,12,14H2,1-3H3",0,37,train
CCCCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,True,(),0,"InChI=1S/C17H25N5O3S/c1-4-5-10-22-13-14(19(2)17(25)20(3)15(13)24)18-16(22)26-11-12(23)21-8-6-7-9-21/h4-11H2,1-3H3",0,38,train
O=C(CSc1nc2ccccc2o1)Nc1ccccc1N1CCCCCC1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C21H23N3O2S/c25-20(15-27-21-23-17-10-4-6-12-19(17)26-21)22-16-9-3-5-11-18(16)24-13-7-1-2-8-14-24/h3-6,9-12H,1-2,7-8,13-15H2,(H,22,25)",1,39,train
CCOC(=O)CC(=O)CSc1nnc2c(n1)[nH]c1ccccc12,True,beta-keto/anhydride,1,"InChI=1S/C15H14N4O3S/c1-2-22-12(21)7-9(20)8-23-15-17-14-13(18-19-15)10-5-3-4-6-11(10)16-14/h3-6H,2,7-8H2,1H3,(H,16,17,19)",1,40,train
O=C(NC1CCCC1)c1cccnc1N1CCCCCC1,True,(),0,"InChI=1S/C17H25N3O/c21-17(19-14-8-3-4-9-14)15-10-7-11-18-16(15)20-12-5-1-2-6-13-20/h7,10-11,14H,1-6,8-9,12-13H2,(H,19,21)",1,41,train
O=C(Cc1cccs1)N1CCC(c2nc(=O)c3nnn(Cc4ccccc4Cl)c3[nH]2)CC1,True,(),0,"InChI=1S/C22H21ClN6O2S/c23-17-6-2-1-4-15(17)13-29-21-19(26-27-29)22(31)25-20(24-21)14-7-9-28(10-8-14)18(30)12-16-5-3-11-32-16/h1-6,11,14H,7-10,12-13H2,(H,24,25,31)",1,42,train
COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C22H19NO4/c1-25-19-9-4-5-10-20(19)27-14-12-23-15-17(16-7-2-3-8-18(16)23)22(24)21-11-6-13-26-21/h2-11,13,15H,12,14H2,1H3",1,43,train
COc1ccc(-c2csc(NC(=O)Cn3nc(C)cc3C)n2)cc1,True,(),0,"InChI=1S/C17H18N4O2S/c1-11-8-12(2)21(20-11)9-16(22)19-17-18-15(10-24-17)13-4-6-14(23-3)7-5-13/h4-8,10H,9H2,1-3H3,(H,18,19,22)",1,44,train
CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC(C)C)o1,True,Aliphatic long chain,1,"InChI=1S/C13H20N2O6S/c1-4-5-8-14-13(17)15-22(18,19)11-7-6-10(21-11)12(16)20-9(2)3/h6-7,9H,4-5,8H2,1-3H3,(H2,14,15,17)",0,45,train
CCOC(=O)C1Cc2c([nH]c3ccccc23)CN1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C14H16N2O2.ClH/c1-2-18-14(17)12-7-10-9-5-3-4-6-11(9)16-13(10)8-15-12;/h3-6,12,15-16H,2,7-8H2,1H3;1H",1,46,train
CCOc1ccc(C(=O)N2CCCC2C(=O)O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C14H17NO4/c1-2-19-11-7-5-10(6-8-11)13(16)15-9-3-4-12(15)14(17)18/h5-8,12H,2-4,9H2,1H3,(H,17,18)",0,47,train
CCCN1CC=C2C(C#N)C(=N)C(C#N)(C#N)C(c3cc(OC)ccc3OC)C2C1,True,"imine, isolated alkene",2,"InChI=1S/C23H25N5O2/c1-4-8-28-9-7-16-18(11-24)22(27)23(13-25,14-26)21(19(16)12-28)17-10-15(29-2)5-6-20(17)30-3/h5-7,10,19,21H,4,8-9,12,27H2,1-3H3",1,48,train
COCCN1C(=O)C(=O)C(C(=O)c2cccc(OC)c2)C1c1ccco1,True,"beta-keto/anhydride, diketo group",2,"InChI=1S/C19H19NO6/c1-24-10-8-20-16(14-7-4-9-26-14)15(18(22)19(20)23)17(21)12-5-3-6-13(11-12)25-2/h3-7,9,11,16,21H,8,10H2,1-2H3/b17-15+",0,49,train
CCC(=O)Nc1cccc(NC(=O)CSc2nnnn2Cc2ccccc2)c1,True,(),0,"InChI=1S/C19H20N6O2S/c1-2-17(26)20-15-9-6-10-16(11-15)21-18(27)13-28-19-22-23-24-25(19)12-14-7-4-3-5-8-14/h3-11H,2,12-13H2,1H3,(H,20,26)(H,21,27)",1,50,train
COc1ccc(-c2cc(C(F)F)nc(-n3nc(C)cc3C)n2)cc1,True,(),0,"InChI=1S/C17H16F2N4O/c1-10-8-11(2)23(22-10)17-20-14(9-15(21-17)16(18)19)12-4-6-13(24-3)7-5-12/h4-9,16H,1-3H3",1,51,train
O=C(OCCCN1CCCCC1)c1ccc(O)cc1,True,Aliphatic long chain,1,"InChI=1S/C15H21NO3/c17-14-7-5-13(6-8-14)15(18)19-12-4-11-16-9-2-1-3-10-16/h5-8,17H,1-4,9-12H2",0,52,train
Cc1cc(NC(=O)CCC(=O)N2CCC3(CC2)OCCO3)no1,True,(),0,"InChI=1S/C15H21N3O5/c1-11-10-12(17-23-11)16-13(19)2-3-14(20)18-6-4-15(5-7-18)21-8-9-22-15/h10H,2-9H2,1H3,(H,16,17,19)",0,53,train
O=C1CN=C(c2cccs2)c2c(sc3c2CCCC3)N1,True,(),0,"InChI=1S/C15H14N2OS2/c18-12-8-16-14(11-6-3-7-19-11)13-9-4-1-2-5-10(9)20-15(13)17-12/h3,6-7H,1-2,4-5,8H2,(H,17,18)",1,54,train
Clc1ccc(C(c2nnnn2C2CCCC2)N2CCN(Cc3ccncc3)CC2)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H28ClN7/c24-20-7-5-19(6-8-20)22(23-26-27-28-31(23)21-3-1-2-4-21)30-15-13-29(14-16-30)17-18-9-11-25-12-10-18/h5-12,21-22H,1-4,13-17H2",1,55,train
CCOC(=O)CSc1n[nH]c(-c2cccnc2)n1,True,(),0,"InChI=1S/C11H12N4O2S/c1-2-17-9(16)7-18-11-13-10(14-15-11)8-4-3-5-12-6-8/h3-6H,2,7H2,1H3,(H,13,14,15)",1,56,train
CC(C)C(C(=O)NCC1CCCO1)N(Cc1ccco1)C(=O)CNS(=O)(=O)c1ccc(F)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H30FN3O6S/c1-16(2)22(23(29)25-13-18-5-3-11-32-18)27(15-19-6-4-12-33-19)21(28)14-26-34(30,31)20-9-7-17(24)8-10-20/h4,6-10,12,16,18,22,26H,3,5,11,13-15H2,1-2H3,(H,25,29)",0,57,train
CCCCn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C,True,(),0,"InChI=1S/C11H15ClN4O2/c1-4-5-6-16-7-8(13-10(16)12)14(2)11(18)15(3)9(7)17/h4-6H2,1-3H3",1,58,train
CC(=O)Nc1ccc(-c2ccccc2)s1,True,(),0,"InChI=1S/C12H11NOS/c1-9(14)13-12-8-7-11(15-12)10-5-3-2-4-6-10/h2-8H,1H3,(H,13,14)",1,59,train
O=C(O)c1cc(S(=O)(=O)NCC2CCCO2)ccc1Cl,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C12H14ClNO5S/c13-11-4-3-9(6-10(11)12(15)16)20(17,18)14-7-8-2-1-5-19-8/h3-4,6,8,14H,1-2,5,7H2,(H,15,16)",0,60,train
Cc1cccc(NC(=O)N(Cc2nc(=O)c3ccccc3[nH]2)C2CCCC2)c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C22H24N4O2/c1-15-7-6-8-16(13-15)23-22(28)26(17-9-2-3-10-17)14-20-24-19-12-5-4-11-18(19)21(27)25-20/h4-8,11-13,17H,2-3,9-10,14H2,1H3,(H,23,28)(H,24,25,27)",1,61,train
CCC(c1nnnn1CCOC)N1CCN(C(=O)c2ccco2)CC1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C16H24N6O3.ClH/c1-3-13(15-17-18-19-22(15)10-12-24-2)20-6-8-21(9-7-20)16(23)14-5-4-11-25-14;/h4-5,11,13H,3,6-10,12H2,1-2H3;1H",0,62,train
O=S(=O)(c1ccccc1)N1CCN(c2cc(-c3ccccc3)nc3ncnn23)CC1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C21H20N6O2S/c28-30(29,18-9-5-2-6-10-18)26-13-11-25(12-14-26)20-15-19(17-7-3-1-4-8-17)24-21-22-16-23-27(20)21/h1-10,15-16H,11-14H2",1,63,train
COc1ccc(N2CC(C(=O)OCC(=O)c3cccc(OC)c3)CC2=O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H21NO6/c1-26-17-8-6-16(7-9-17)22-12-15(11-20(22)24)21(25)28-13-19(23)14-4-3-5-18(10-14)27-2/h3-10,15H,11-13H2,1-2H3",1,64,train
COc1cccc(-c2cc3nc(-c4ccccc4)cc(N4CCC5(CC4)OCCO5)n3n2)c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C26H26N4O3/c1-31-21-9-5-8-20(16-21)23-17-24-27-22(19-6-3-2-4-7-19)18-25(30(24)28-23)29-12-10-26(11-13-29)32-14-15-33-26/h2-9,16-18H,10-15H2,1H3",1,65,train
CCn1c(SCc2ccc(C#N)cc2)nnc1-c1ccc(S(=O)(=O)N2CCCCC2)cc1,True,(),0,"InChI=1S/C23H25N5O2S2/c1-2-28-22(25-26-23(28)31-17-19-8-6-18(16-24)7-9-19)20-10-12-21(13-11-20)32(29,30)27-14-4-3-5-15-27/h6-13H,2-5,14-15,17H2,1H3",0,66,train
CCOc1cccc(C(=O)C2C(=O)C(=O)N(Cc3ccco3)C2c2ccncc2)c1,True,"beta-keto/anhydride, diketo group",2,"InChI=1S/C23H20N2O5/c1-2-29-17-6-3-5-16(13-17)21(26)19-20(15-8-10-24-11-9-15)25(23(28)22(19)27)14-18-7-4-12-30-18/h3-13,20,26H,2,14H2,1H3/b21-19-",1,67,train
CC1CCN(C(=O)CSc2nc3cccnc3n2C)CC1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C15H20N4OS/c1-11-5-8-19(9-6-11)13(20)10-21-15-17-12-4-3-7-16-14(12)18(15)2/h3-4,7,11H,5-6,8-10H2,1-2H3",1,68,train
CCOc1ccc(N2CC(C(=O)NC(C)C)CC2=O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C16H22N2O3/c1-4-21-14-7-5-13(6-8-14)18-10-12(9-15(18)19)16(20)17-11(2)3/h5-8,11-12H,4,9-10H2,1-3H3,(H,17,20)",0,69,train
COc1ccc(CNC(=O)CN(CC2CCCO2)C(=O)CNS(=O)(=O)c2ccccc2)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H29N3O6S/c1-31-19-11-9-18(10-12-19)14-24-22(27)17-26(16-20-6-5-13-32-20)23(28)15-25-33(29,30)21-7-3-2-4-8-21/h2-4,7-12,20,25H,5-6,13-17H2,1H3,(H,24,27)",0,70,train
Cc1cc(C)n(-c2nc(NC(C)C)nc(NC(C)C)n2)n1,True,(),0,"InChI=1S/C14H23N7/c1-8(2)15-12-17-13(16-9(3)4)19-14(18-12)21-11(6)7-10(5)20-21/h7-9H,1-6H3,(H2,15,16,17,18,19)",1,71,train
COc1ccc(OCc2nnc(SCC(=O)O)n2N)cc1,True,(),0,"InChI=1S/C12H14N4O4S/c1-19-8-2-4-9(5-3-8)20-6-10-14-15-12(16(10)13)21-7-11(17)18/h2-5H,6-7,13H2,1H3,(H,17,18)",0,72,train
CCOC(=O)C1C(C)=NC(=O)NC1c1ccoc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C12H14N2O4/c1-3-18-11(15)9-7(2)13-12(16)14-10(9)8-4-5-17-6-8/h4-6,10H,3H2,1-2H3,(H2,13,14,16)",1,73,train
O=C(NCCc1ccc(Cl)cc1)c1nc[nH]n1,True,(),0,"InChI=1S/C11H11ClN4O/c12-9-3-1-8(2-4-9)5-6-13-11(17)10-14-7-15-16-10/h1-4,7H,5-6H2,(H,13,17)(H,14,15,16)",1,74,train
C=CCn1c(NCc2ccccc2)nc2ccccc21,True,isolated alkene,1,"InChI=1S/C17H17N3/c1-2-12-20-16-11-7-6-10-15(16)19-17(20)18-13-14-8-4-3-5-9-14/h2-11H,1,12-13H2,(H,18,19)",1,75,train
CC(NC(=O)OCc1ccccc1)C(=O)NCC1CCCO1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C16H22N2O4/c1-12(15(19)17-10-14-8-5-9-21-14)18-16(20)22-11-13-6-3-2-4-7-13/h2-4,6-7,12,14H,5,8-11H2,1H3,(H,17,19)(H,18,20)",1,76,train
c1ccc(Cn2nnc3c(N4CCc5ccccc5C4)ncnc32)cc1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C20H18N6/c1-2-6-15(7-3-1)12-26-20-18(23-24-26)19(21-14-22-20)25-11-10-16-8-4-5-9-17(16)13-25/h1-9,14H,10-13H2",1,77,train
COc1ccc(C(=O)NC2CC3CCCC(C2)N3CC(C)C)cc1OC,True,"((5, 'molecule has two (or more) atoms with exactly the same coordinates'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C21H32N2O3/c1-14(2)13-23-17-6-5-7-18(23)12-16(11-17)22-21(24)15-8-9-19(25-3)20(10-15)26-4/h8-10,14,16-18H,5-7,11-13H2,1-4H3,(H,22,24)",0,78,train
Cc1cc(N2CCN(c3nc4ccccc4s3)CC2)n2ncnc2n1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C17H17N7S/c1-12-10-15(24-16(20-12)18-11-19-24)22-6-8-23(9-7-22)17-21-13-4-2-3-5-14(13)25-17/h2-5,10-11H,6-9H2,1H3",1,79,train
CC(C)C(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,True,(),0,"InChI=1S/C19H19NO4/c1-12(2)19(22)20-15-11-17-16(23-8-9-24-17)10-14(15)18(21)13-6-4-3-5-7-13/h3-7,10-12H,8-9H2,1-2H3,(H,20,22)",1,80,train
COc1ccc(C2C(C(=O)N3CCOCC3)=C(C)N=C3CC(C)(C)CC(=O)C32)c(OC)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C25H32N2O5/c1-15-21(24(29)27-8-10-32-11-9-27)22(17-7-6-16(30-4)12-20(17)31-5)23-18(26-15)13-25(2,3)14-19(23)28/h6-7,12,22,26H,8-11,13-14H2,1-5H3",0,81,train
O=c1oc(-c2ccco2)nc2c1cnn2-c1ccccc1,True,(),0,InChI=1S/C15H9N3O3/c19-15-11-9-16-18(10-5-2-1-3-6-10)13(11)17-14(21-15)12-7-4-8-20-12/h1-9H,1,82,train
